64.85714285714286,171.14285714285714,San Felipe
101.71428571428571,281.14285714285717,Marta de Roldos
208.0,420.2857142857143,Urdesa
361.14285714285717,328.2857142857143,Mall del sol
416.0,281.7142857142857,Garzota
304.57142857142856,263.42857142857144,Urdenor
397.42857142857144,123.42857142857143,Sauces 9
506.85714285714283,141.14285714285714,Acuarela del Río
656.2857142857143,254.28571428571428,Parque Histórico
213.71428571428572,140.57142857142858,Los Álamos
650.2857142857143,40.57142857142857,Torres del Sol
506.2857142857143,43.42857142857143,Sauces 4
112.57142857142857,68.0,Cooperativa Pastor Vera
